Distance,Gender,Catergory,TimeFrom,TimeTo,Points
8,Female,Veteran,01:49:20,01:59:34,7
8,Female,Veteran,01:59:35,02:09:49,6
8,Female,Veteran,02:09:50,02:20:03,5
8,Female,Veteran,02:20:04,02:30:18,4
8,Female,Veteran,02:30:19,Finisher,1
8,Female,Master,00:00:00,01:32:41,10
8,Female,Master,01:32:42,01:43:22,9
8,Female,Master,01:43:23,01:54:04,8
8,Female,Master,01:54:05,02:04:46,7
8,Female,Master,02:04:47,02:15:27,6
8,Female,Master,02:15:28,02:26:09,5
8,Female,Master,02:26:10,Finisher,1
8,Female,Grand Master,00:00:00,01:35:15,10
